366ee874-cbac-4a54-9f29-e319043c521d,3.02632,"{'Comedy', 'Horror'}","Howling, The (1981)",,"http://us.imdb.com/M/title-exact?Howling,%20The%20(1981)",
d1a16a41-75d7-4bff-a3c8-4cc1933f1c2e,4.344,{'Drama'},12 Angry Men (1957),,http://us.imdb.com/M/title-exact?12%20Angry%20Men%20(1957),
2e78c26f-ebf0-4781-ab98-f9a08a17a0a8,2.75862,"{'Comedy', 'Romance'}",If Lucy Fell (1996),,http://us.imdb.com/M/title-exact?If%20Lucy%20Fell%20(1996),
15579a17-5123-44a4-ab02-667d798f4ecb,2.23881,"{'Comedy', 'Crime'}",Striptease (1996),,http://us.imdb.com/M/title-exact?Striptease%20(1996),
aa484740-182c-454b-bb3a-0f3f81bca7f5,3.60112,"{'Drama', 'Thriller'}",Primal Fear (1996),,http://us.imdb.com/M/title-exact?Primal%20Fear%20(1996),
01c20509-2929-4f2b-8683-bc427dde933a,3.5,{'Documentary'},Grateful Dead (1995),,http://us.imdb.com/M/title-exact?Grateful%20Dead%20(1995),
d40b8150-cf92-426b-860b-353eeeba7ba5,2.875,"{'Comedy', 'Drama'}",Bhaji on the Beach (1993),,http://us.imdb.com/M/title-exact?Bhaji%20on%20the%20Beach%20(1993),
1447b82b-5206-4e93-bb01-527730bd2e25,3.5,"{'Adventure', 'Children''s', 'Fantasy', 'Sci-Fi'}","20,000 Leagues Under the Sea (1954)",,"http://us.imdb.com/M/title-exact?20,000%20Leagues%20Under%20the%20Sea%20(1954)",
2b7821de-c6f6-4fdb-8d3b-23df5077cf04,3.74118,{'Comedy'},Bob Roberts (1992),,http://us.imdb.com/M/title-exact?Bob%20Roberts%20(1992),
7df73d97-e098-493e-84b0-91d93e67ba30,4.29293,{'Drama'},Citizen Kane (1941),,http://us.imdb.com/M/title-exact?Citizen%20Kane%20(1941),
c8ee41df-bd75-4a1e-ba1b-6f3067a9522b,3.65854,{'Musical'},Gigi (1958),,http://us.imdb.com/M/title-exact?Gigi%20(1958),
78169961-5488-4ad9-be79-b144c74f29a4,2.5,"{'Crime', 'Thriller'}",City of Industry (1997),,http://us.imdb.com/M/title-exact?City%20of%20Industry%20(1997),
171c493a-653d-4746-b2a1-0a3f7050295e,1.7,{'Action'},Bloodsport 2 (1995),,http://us.imdb.com/M/title-exact?Bloodsport%202%20%281995%29,
3a5b2863-c577-40a8-be91-f38f5cb8cf81,2.375,{'Drama'},"Awfully Big Adventure, An (1995)",,"http://us.imdb.com/M/title-exact?Awfully%20Big%20Adventure,%20An%20(1995)",
a8cff003-7d55-47b6-9ecb-003cd0fe3ee3,2,{'Crime'},"Innocent Sleep, The (1995)",,http://us.imdb.com/M/title-exact?Innocent+Sleep%2C+The+(1995),
a1c8b4bb-cb9d-4e24-9a9e-929c546f00ef,1.5,"{'Comedy', 'Horror'}","Machine, The (1994)",,"http://us.imdb.com/M/title-exact?Machine,%20La%20(1994)",
2798f40e-d774-4c26-8a64-7d2a57eb724a,1.33333,{'Comedy'},Ed (1996),,http://us.imdb.com/M/title-exact?Ed%20(1996),
